"main", "73", "RWP_MessagePassing.java:38", "Method Exit", " returner=Reader:4#Reader:4, value=<void>"
"main", "74", "RWP_MessagePassing.java:19", "Method Returned", " "
"main", "75", "RWP_MessagePassing.java:19", "Line Step", " file=RWP_MessagePassing.java, line=19"
"main", "76", "RWP_MessagePassing.java:19", "Variable Write", " context=RWP_MessagePassing#main:1, r4=Reader:4"
"main", "77", "RWP_MessagePassing.java:20", "Line Step", " file=RWP_MessagePassing.java, line=20"
"main", "78", "RWP_MessagePassing.java:20", "New Object", " object=Reader:5"
"main", "79", "RWP_MessagePassing.java:20", "Method Call", " caller=RWP_MessagePassing#main:1, target=Reader:5#Reader:5"
"main", "80", "RWP_MessagePassing.java:38", "Method Entered", " "
"main", "81", "RWP_MessagePassing.java:38", "Line Step", " file=RWP_MessagePassing.java, line=38"
"main", "82", "RWP_MessagePassing.java:38", "Method Exit", " returner=Reader:5#Reader:5, value=<void>"
"main", "83", "RWP_MessagePassing.java:20", "Method Returned", " "
"main", "84", "RWP_MessagePassing.java:20", "Line Step", " file=RWP_MessagePassing.java, line=20"
"main", "85", "RWP_MessagePassing.java:20", "Variable Write", " context=RWP_MessagePassing#main:1, r5=Reader:5"
"main", "86", "RWP_MessagePassing.java:22", "Line Step", " file=RWP_MessagePassing.java, line=22"
"main", "87", "SYSTEM", "Type Load", " class=Writer"
"main", "88", "RWP_MessagePassing.java:22", "New Object", " object=Writer:1"
"main", "89", "RWP_MessagePassing.java:22", "Method Call", " caller=RWP_MessagePassing#main:1, target=Writer:1#Writer:1"
"main", "90", "RWP_MessagePassing.java:53", "Method Entered", " "
"main", "91", "RWP_MessagePassing.java:53", "Line Step", " file=RWP_MessagePassing.java, line=53"
"main", "92", "RWP_MessagePassing.java:53", "Method Exit", " returner=Writer:1#Writer:1, value=<void>"
"main", "93", "RWP_MessagePassing.java:22", "Method Returned", " "
"main", "94", "RWP_MessagePassing.java:22", "Line Step", " file=RWP_MessagePassing.java, line=22"
"main", "95", "RWP_MessagePassing.java:22", "Variable Write", " context=RWP_MessagePassing#main:1, w1=Writer:1"
"main", "96", "RWP_MessagePassing.java:23", "Line Step", " file=RWP_MessagePassing.java, line=23"
"main", "97", "RWP_MessagePassing.java:23", "New Object", " object=Writer:2"
"main", "98", "RWP_MessagePassing.java:23", "Method Call", " caller=RWP_MessagePassing#main:1, target=Writer:2#Writer:2"
"main", "99", "RWP_MessagePassing.java:53", "Method Entered", " "
"main", "100", "RWP_MessagePassing.java:53", "Line Step", " file=RWP_MessagePassing.java, line=53"
"main", "101", "RWP_MessagePassing.java:53", "Method Exit", " returner=Writer:2#Writer:2, value=<void>"
"main", "102", "RWP_MessagePassing.java:23", "Method Returned", " "
"main", "103", "RWP_MessagePassing.java:23", "Line Step", " file=RWP_MessagePassing.java, line=23"
"main", "104", "RWP_MessagePassing.java:23", "Variable Write", " context=RWP_MessagePassing#main:1, w2=Writer:2"
"main", "105", "RWP_MessagePassing.java:24", "Line Step", " file=RWP_MessagePassing.java, line=24"
"main", "106", "RWP_MessagePassing.java:24", "New Object", " object=Writer:3"
"main", "107", "RWP_MessagePassing.java:24", "Method Call", " caller=RWP_MessagePassing#main:1, target=Writer:3#Writer:3"
"main", "108", "RWP_MessagePassing.java:53", "Method Entered", " "
"main", "109", "RWP_MessagePassing.java:53", "Line Step", " file=RWP_MessagePassing.java, line=53"
"main", "110", "RWP_MessagePassing.java:53", "Method Exit", " returner=Writer:3#Writer:3, value=<void>"
"main", "111", "RWP_MessagePassing.java:24", "Method Returned", " "
"main", "112", "RWP_MessagePassing.java:24", "Line Step", " file=RWP_MessagePassing.java, line=24"
"main", "113", "RWP_MessagePassing.java:24", "Variable Write", " context=RWP_MessagePassing#main:1, w3=Writer:3"
"main", "114", "RWP_MessagePassing.java:25", "Line Step", " file=RWP_MessagePassing.java, line=25"
"main", "115", "RWP_MessagePassing.java:25", "New Object", " object=Writer:4"
"main", "116", "RWP_MessagePassing.java:25", "Method Call", " caller=RWP_MessagePassing#main:1, target=Writer:4#Writer:4"
"main", "117", "RWP_MessagePassing.java:53", "Method Entered", " "
"main", "118", "RWP_MessagePassing.java:53", "Line Step", " file=RWP_MessagePassing.java, line=53"
"main", "119", "RWP_MessagePassing.java:53", "Method Exit", " returner=Writer:4#Writer:4, value=<void>"
"main", "120", "RWP_MessagePassing.java:25", "Method Returned", " "
"main", "121", "RWP_MessagePassing.java:25", "Line Step", " file=RWP_MessagePassing.java, line=25"
"main", "122", "RWP_MessagePassing.java:25", "Variable Write", " context=RWP_MessagePassing#main:1, w4=Writer:4"
"main", "123", "RWP_MessagePassing.java:26", "Line Step", " file=RWP_MessagePassing.java, line=26"
"main", "124", "RWP_MessagePassing.java:26", "New Object", " object=Writer:5"
"main", "125", "RWP_MessagePassing.java:26", "Method Call", " caller=RWP_MessagePassing#main:1, target=Writer:5#Writer:5"
"main", "126", "RWP_MessagePassing.java:53", "Method Entered", " "
"main", "127", "RWP_MessagePassing.java:53", "Line Step", " file=RWP_MessagePassing.java, line=53"
"main", "128", "RWP_MessagePassing.java:53", "Method Exit", " returner=Writer:5#Writer:5, value=<void>"
"main", "129", "RWP_MessagePassing.java:26", "Method Returned", " "
"main", "130", "RWP_MessagePassing.java:26", "Line Step", " file=RWP_MessagePassing.java, line=26"
"main", "131", "RWP_MessagePassing.java:26", "Variable Write", " context=RWP_MessagePassing#main:1, w5=Writer:5"
"main", "132", "RWP_MessagePassing.java:28", "Line Step", " file=RWP_MessagePassing.java, line=28"
"main", "133", "RWP_MessagePassing.java:28", "New Object", " object=Scheduler.Process[]:1"
"main", "134", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 0=RWController:1"
"main", "135", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 1=Database:1"
"main", "136", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 2=Reader:1"
"main", "137", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 3=Reader:2"
"main", "138", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 4=Reader:3"
"main", "139", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 5=Reader:4"
"main", "140", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 6=Reader:5"
"main", "141", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 7=Writer:1"
"main", "142", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 8=Writer:2"
"main", "143", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 9=Writer:3"
"main", "144", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 10=Writer:4"
"main", "145", "RWP_MessagePassing.java:28", "Field Write", " context=Scheduler.Process[]:1, 11=Writer:5"
"main", "146", "RWP_MessagePassing.java:28", "Variable Write", " context=RWP_MessagePassing#main:1, arr=Scheduler.Process[]:1"
"main", "147", "RWP_MessagePassing.java:29", "Line Step", " file=RWP_MessagePassing.java, line=29"
"Thread-1", "148", "SYSTEM", "Thread Start", " Thread-1 (53)"
"Thread-1", "149", "SYSTEM", "Method Call", " caller=SYSTEM, target=LRWController;.run()"
"Thread-1", "150", "SYSTEM", "Method Call", " caller=LRWController;.run(), target=RWController:1#run:1"
